x1,x2,variety
-2.684125626,0.319397247,1
-2.714141687,-0.177001225,1
-2.888990569,-0.144949426,1
-2.745342856,-0.318298979,1
-2.728716537,0.326754513,1
-2.280859633,0.741330449,1
-2.820537751,-0.089461385,1
-2.626144973,0.16338496,1
-2.886382732,-0.578311754,1
-2.672755798,-0.113774246,1
-2.506947091,0.645068899,1
-2.612755231,0.014729939,1
-2.786109266,-0.235112,1
-3.223803744,-0.511394587,1
-2.64475039,1.178764636,1
-2.386039034,1.33806233,1
-2.623527875,0.810679514,1
-2.648296706,0.311849145,1
-2.199820324,0.872839039,1
-2.5879864,0.513560309,1
-2.310256215,0.391345936,1
-2.543705229,0.432996063,1
-3.215939416,0.13346807,1
-2.302733182,0.098708855,1
-2.355754049,-0.03728186,1
-2.506668907,-0.14601688,1
-2.468820073,0.130951489,1
-2.562319906,0.367718857,1
-2.639534715,0.31203998,1
-2.631989387,-0.196961225,1
-2.587398477,-0.204318491,1
-2.409932497,0.410924264,1
-2.648862334,0.81336382,1
-2.598736749,1.093145759,1
-2.636926878,-0.121322348,1
-2.866241652,0.069364472,1
-2.62523805,0.599370021,1
-2.800684115,0.268643738,1
-2.980502044,-0.487958344,1
-2.590006314,0.229043837,1
-2.770102426,0.263527534,1
-2.849368705,-0.940960574,1
-2.997406547,-0.341926057,1
-2.405614485,0.188871429,1
-2.209489238,0.436663142,1
-2.714451427,-0.250208204,1
-2.538148259,0.503771144,1
-2.839462168,-0.227945569,1
-2.54308575,0.579410022,1
-2.703359782,0.107706082,1
1.284825689,0.68516047,0
0.932488532,0.318333638,0
1.464302322,0.504262815,0
0.18331772,-0.827959012,0
1.088103258,0.074590675,0
0.641669084,-0.418246872,0
1.095060663,0.28346827,0
-0.74912267,-1.004890961,0
1.044131826,0.2283619,0
-0.008745404,-0.723081905,0
-0.507840884,-1.265971191,0
0.511698557,-0.103981235,0
0.264976508,-0.550036464,0
0.98493451,-0.124817854,0
-0.173925372,-0.254854209,0
0.927860781,0.467179494,0
0.660283762,-0.352969666,0
0.236104993,-0.333610767,0
0.944733728,-0.543145551,0
0.045226976,-0.583834377,0
1.116283177,-0.084616852,0
0.357888418,-0.068925032,0
1.298183875,-0.327787308,0
0.921728922,-0.182737794,0
0.714853326,0.149055944,0
0.900174373,0.328504474,0
1.332024437,0.244440876,0
1.557802155,0.267495447,0
0.81329065,-0.163350301,0
-0.305583778,-0.36826219,0
-0.068126492,-0.705172132,0
-0.189622472,-0.680286764,0
0.136428712,-0.314032438,0
1.380026436,-0.420954287,0
0.588006443,-0.48428742,0
0.806858313,0.194182315,0
1.220690882,0.407619594,0
0.815095236,-0.37203706,0
0.24595768,-0.268524397,0
0.166413217,-0.681926725,0
0.464800288,-0.670711545,0
0.890815198,-0.034464444,0
0.230548024,-0.404385848,0
-0.704531759,-1.012248228,0
0.356981495,-0.504910093,0
0.33193448,-0.212654684,0
0.376215651,-0.293218929,0
0.642576008,0.01773819,0
-0.906469865,-0.756093367,0
0.299000842,-0.348897806,0
2.531192728,-0.009849109,0
1.415235877,-0.574916348,0
2.616676016,0.343903151,0
1.971531053,-0.179727904,0
2.35000592,-0.040260947,0
3.397038736,0.550836673,0
0.521232244,-1.192758727,0
2.932587069,0.355500003,0
2.321228817,-0.243831502,0
2.916750967,0.782791949,0
1.661774154,0.242228408,0
1.803401953,-0.215637617,0
2.165591796,0.216275585,0
1.346163579,-0.776818347,0
1.585928224,-0.539640714,0
1.904456375,0.119250692,0
1.949689059,0.04194326,0
3.487055364,1.17573933,0
3.795645422,0.257322973,0
1.300791713,-0.761149636,0
2.427817913,0.378196013,0
1.199001105,-0.606091528,0
3.499920039,0.460674099,0
1.388766132,-0.204399327,0
2.275430504,0.334990606,0
2.614090474,0.560901355,0
1.258508161,-0.179704795,0
1.291132059,-0.116668651,0
2.123608723,-0.209729477,0
2.388003016,0.464639805,0
2.841672778,0.375269167,0
3.230673661,1.374165087,0
2.159437642,-0.217277579,0
1.444161242,-0.14341341,0
1.78129481,-0.499901681,0
3.076499932,0.688085678,0
2.144243314,0.140064201,0
1.905098149,0.049300526,0
1.169326339,-0.164990262,0
2.107611143,0.372287872,0
2.314154705,0.183651279,0
1.922267801,0.409203467,0
1.415235877,-0.574916348,0
2.563013375,0.277862603,0
2.418746183,0.304798198,0
1.944109795,0.187532303,0
1.527166615,-0.375316983,0
1.764345717,0.078858855,0
1.900941614,0.116627959,0
1.390188862,-0.282660938,0
